Puzzle,Solution
...9..61.92..4.................8..4.3.6..9..8.94..6......238...2.359....1.....8..,438972615921645387765813429512387946376429158894156273647238591283591764159764832
...3......7..8.261...6...58.83.7....1....48.6.......4....24......6..34....1.....5,628351794375489261914627358483176529192534876567892143839245617756913482241768935
...1.45.....63...1.2.9....3..9...72.4..........731..6.735......9.1.......46.7....,693124587574638291128957643319486725462795138857312964735249816981563472246871359
.624.8.31....5....8.4...5..37...6...1.628..5.....4....2.3..4.........6.7...5...2.,562478931739152864814639572375916248146287359928345716293764185451823697687591423
9...56......9....2.2148...3....4.5...8.....4.3..52..1.........5..4...8..2.......9,937256184468913752521487693792641538185739246346528917879164325654392871213875469
1.4...7...75...2869...8.......8.7..5.4.5.............1....7.....5.1.49...9.62.4.7,184256739375419286926783154231897645748561392569342871412978563657134928893625417
..1.8.2...46.5.9.....9..14........1.2.8.35....1......3.2...4.963.......2.6.......,931487265746251938582963147653742819298135674417698523125874396379516482864329751
1...2..64..6..7............2..61..5..........45......8.1..4.8..3.728.4....837...2,175829364836457129924163785283614957769538241451792638512946873397285416648371592
..4...1.6....3..4.6....8.39..9.....24832.............7..81.9.....164.....9..72...,834925176912736845657418239179584362483267951265391487748159623521643798396872514
...5.....1.4..25......63.9..............1....28..9...44....6.5.6..18...3.1..3.6.9,869541237134972586527863491971354862346218975285697314493726158652189743718435629
....3.4.......976.5.9......89..........38...61.4...8............83....1.6.59.7.3.,261735489348129765579468321896271543752384196134596872927813654483652917615947238
26.13.75.....6.3..3..7...166...........279....29.....5.....5......49....57.3....2,268134759157968324394752816681543297435279681729816435943625178812497563576381942
..8....2..........2.....6...849..........1.3...53....4.1..2...6.2.48.9...49.6...5,938615427467298351251734698384956172672841539195372864813529746526487913749163285
68..79......2...3..1...3...5.612..........8....2...7....86.......13....7...7.5.2.,683579241947261538215843976576128493134957862892436715728614359451392687369785124
..........2.847..3....2.9.725.36........85....8.79.3..948.3.7...3.574............,873159426629847513514623987257361849396485172481792365948236751132574698765918234
.91.....65...4....6...3...8.....8.3..4....2.....5.4.1.1..2..6......9.....8....35.,391852476528746193674139528215678934847913265936524817153287649462395781789461352
..........94....15..819.64...17.....9..85..612....9...4.9......617.4..9......5...,136584927794623815528197643841736259973852461265419738459271386617348592382965174
3..5.4.71.9.7...2.1...3..8..4...7.....2...8..8.9..3.15...9..........8.....3....92,328594671496781523157632984541867239732159846869243715274916358915328467683475192
2........96..4.....87......84.5.....7..3..9......6..2.5...826...7...5.4...8..3.75,231957468965248731487136259842579316756321984193864527514782693379615842628493175
...2..9851....5.7.2........6.25.9......3..2..5.8....9..1.68..3.........1...9.182.,763214985194835672285796143672549318941368257538127496417682539829453761356971824
.8.9..........8..3....6....75.....6.9....2..13..5..9.88..1.573......91..59..23...,283954617675218493149367285752891364968432571314576928826145739437689152591723846
4........6..581....9....5..234.9...55.163..8..8.1....2...3..62.3............258..,415976238623581947798243516234798165571632489986154372859317624342869751167425893
4....12.8....96..1..3..76............2....7.4..1...3..316......7..1.986...8..3.2.,469531278287496531153287649634715982925368714871924356316872495742159863598643127
.1...4.....8...7..26.......49.5..1.....2.64.9..6..1...57......4.4.6789...........,715824693938165742264793518493587126157236489826941375579312864342678951681459237
....563..1...37.8...71.8...4.8...1....1....477......38.....4.6.....2.5...52......,289456371146237985537198426468372159391865247725941638913584762874629513652713894
81.5....3..94.....2...1...9..12..6..53.9..2..9............3.8.5.4.1............12,814569723359427186267318549471253698538946271926871354192734865645182937783695412
.2.3.1...356....9...1.6.....82......1..5.7....95....86...2.3...........9...6185..,924351678356872491871469253482936715163587942795124386517293864638745129249618537
1..37.82..7..4.1.....2.....3.1...4.9.2..16...98.............2..837.....669.......,169375824273648195548291637351827469724916358986534712415769283837152946692483571
62...1.94...6..8...81.79....19....6...8.....7....6..51....1...9..5846......2.....,623581794957624813481379526219457368568132947734968251842715639395846172176293485
.1...35....45.81.2.....7.43381.....5.5......672.1....4..........4......1...34..8.,217463598634598172598217643381674925459832716726159834863921457942785361175346289
5.....4..89..............3.7.2.41..5....7...2.....8.74.....51...173.9...48..1..2.,573962481894137256261854739732641895948573612156298374329485167617329548485716923
.............813....4...6.839...8.6.2.........6.42..73.....9.....38....71...672..,938654721526781349714293658395178462247936815861425973472319586653842197189567234
.......87...8.4.6.5...7...1.5.........1....5.4...9.7....6..827...4..6..9...9.2.1.,142365987739814562568279341657423198921687453483591726396148275214756839875932614
9...5.4...3847..5..6.9.278.4.25..3........9..79...3.2.6.9...............253.....6,927358461138476259564912783412569378386247915795183624649825137871634592253791846
....286...3956..42........9.....4..........3485.......2..6.......73...9....857...,145928673739561842628473159372194568961785234854236917213649785587312496496857321
.......15...1..7.....83.........3.57..5...2....1.....9..6.1..3.9.2...8.18..6..9..,268749315534126798197835426489263157675491283321587649746918532952374861813652974
..96....4........3.8....7....6..1....4....2....189...6.73...9.....2....8...96..2.,739682154152479683684135792396721845847356219521894376273548961965217438418963527
..42.....7....8.61......489..2.8..4....1..57.........89.84.5..75..8.6.2.....17.5.,864291735793548261215673489152789346389164572647352198938425617571836924426917853
923.6...8....7..1.......6.9.6.3.7.......5.19...89...........98....6.1...17....5..,923164758684579213751283649469317825237856194518942367346725981895631472172498536
.368.4..7...1.6.5..85...6...78..5....5..2.178...3............4...1.....272......1,136854927297136854485792613978415236354629178612387495863271549541963782729548361
....1..6814.6..29..37...1.47....9..691...4.....27....3......6............6.92.8..,295417368148635297637892154783259416916384725452761983321578649879146532564923871
1.....4.7..3...5..49.......8..9..............315.4....98.57...1..4.2.37......8..9,158396427273814596496752813827935164649281735315647982982573641564129378731468259
..3...4.....2..9.72...45..3.2........15.2......7....8...293..51.9.......1.8.5....,683179425451283967279645813824361579915827346367594182742938651596412738138756294
.....5.3..1......2.9....684....1...5...3..14.12.54...8...4....6...93..1...6...9..,264895731813764592795123684349618275658372149127549368931457826582936417476281953
.......2..4.92..6.81........94......7.3.1..48.......762..3.7...6.......2.81.....7,976541823345928761812763459194876235763215948528439176259387614637194582481652397
.4.5..2......2..83.9..1..7....85...2.....3.4...........71.4..3...31..4.8...2...1.,347589261615724983892316574764851392528693147139472856271948635953167428486235719
.1.5..6.9...9...12.........4527..9.....65.4....6.....81982..5......6.....75.4....,813524679547986312269371845452718936981653427736492158198237564324865791675149283
...9426.........5.6.....2.9...418......67..15.9.......24.8..5.17....186........7.,815942637924736158637185249576418923382679415491253786243867591759321864168594372
.8.....3.52..3...99....47..6....9.74.7.....96....5.2.......76.......2...8.43.....,486975132527138469931624785615289374278413596349756218192847653763592841854361927
.....46........7.86..5...9.5.4..6...8..............4..97.8.3..6..6..91..3.8.4...5,783294651459361728621578394594126837862437519137985462975813246246759183318642975
8....39.5.1.....83.....24..3..2.8.9.2.....8......4...6....1.........9...9.43...5.,827463915416597283593182467361278594249635871785941326652814739138759642974326158
.4..251.96....43...596...4......8....13....5............5.42....6.3..4..9....1.3.,348725169627194385159683247596418723413279856782536914835942671261357498974861532
4.7.63..2.6.92.........59....87.9.6....8......3..4....7......2...539.4.7...6.....,497163852563928741821475936158739264274856319936241578789514623615392487342687195
...3..25.14..2.8.....79...351..3.49..7........8..47.3......8......47.......1.9.84,697384251143625879258791643512836497374912568986547132439258716861473925725169384
.2.....89........59..36..4.8.....97......4...7...5..6..8.4.6.....9..83...3...2.58,327145689164289735958367241815623974296874513743951862582436197479518326631792458
