Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
6...4...32.....97.7..6.....5.........1.562.....43....21.3.7....9..13.........9...,681947523245813976739625814592784361317562489864391752123478695958136247476259138,23,56,2,0,0,0,0,0,0,Easy,
6.5..2..19...4126...2.3.9...3.....5.2....91.3.....8...5...8......9...6....4.26...,645892731983741265172635948436217859258469173791358426567184392829573614314926587,26,42,22,0,0,1,0,3,2,Expert,
9..........3....7..8.6...2....89.46.45.7.6........2.9786........35........72...83,926587314543921876781643925372895461459716238618432597864379152235168749197254683,25,53,1,1,0,1,0,2,0,Expert,
.9.17.5..46...9...3......688.....4...39....7..1..5.8....6.45....53.9...7....6....,298176534465839712371524968827613459539482176614957823786345291153298647942761385,26,48,7,0,0,0,0,0,0,Easy,
..4..6.3.3.........7.58......9.6....74.3...5.2..9.57.8..3......59......3.82...6..,824176539365294871971583462159867324748312956236945718613459287597628143482731695,25,39,17,0,0,0,0,0,0,Easy,
...9..61.92..4.................8..4.3.6..9..8.94..6......238...2.359....1.....8..,438972615921645387765813429512387946376429158894156273647238591283591764159764832,24,38,19,2,0,0,0,0,0,Intermediate,
.7..6.5..1....7....6.......316..57...........45.....135478..9....1..9..8.8.3....6,873462591125987364964153827316245789798631245452798613547816932631529478289374156,26,74,36,5,2,2,0,9,10,Expert,
.6.7.3..................7.5.4..852.6.2.4....7..8.6.3....68..1..15...6..8..3.4..72,869753421715624839234918765347185296621439587598267314476892153152376948983541672,27,40,14,0,0,0,0,0,0,Easy,
1...3...2...4....8.2.1..56...451..7.75.3.....21..8...35...7..........4.........81,185637942697452138423198567834516279756329814219784653548271396971863425362945781,25,49,7,0,0,0,0,0,0,Easy,
3.8.56...4..91...3.....246.....9.6..61..............2..2....3..19..6..58..62..1..,378456912462917583951832467287594631619328745543671829825149376194763258736285194,26,48,9,3,0,2,0,3,2,Expert,
..81372....76.2.9.3......4...3.6....8..97..1...4............9.....423..6.6..8....,948137265517642398326895741193268574852974613674351829435716982789423156261589437,25,43,13,0,0,0,0,0,0,Easy,
....9.......32...7.......6.....8.3...6...27.5.437....969......8.74.....3.5867..94,782596431916324857435817962527189346169432785843765129691243578274958613358671294,27,44,10,0,0,0,0,0,0,Easy,
...3......7..8.261...6...58.83.7....1....48.6.......4....24......6..34....1.....5,628351794375489261914627358483176529192534876567892143839245617756913482241768935,24,35,22,1,0,0,0,0,0,Intermediate,
...9.....1...25..39..3..54.746.......1..5.6..3.5.......92.63.............3.49..7.,253946781174825963968371542746139825819254637325687419492763158687512394531498276,25,36,18,1,1,1,1,2,0,Expert,
...1.45.....63...1.2.9....3..9...72.4..........731..6.735......9.1.......46.7....,693124587574638291128957643319486725462795138857312964735249816981563472246871359,25,44,12,2,0,0,0,0,0,Intermediate,
....5....15.743........2...28......1.4.8.57.3...6..........1....25....6...723.4..,492158376156743928738962514289374651641825793573619842864591237325487169917236485,24,47,10,0,0,0,0,0,0,Easy,
.5...8.3.1..6.5.....2..9....9.3.6..17...........8.....8...6..235..9...18.362..79.,954718236173625984682439157295376841748152369361894572819567423527943618436281795,27,47,7,0,0,0,0,0,0,Easy,
....3...9.8296.4.....4..2...2.6......79.....36.......2.....3.1.4.6..8...3..2...8.,164832579782965431935471268523689147879124653641357892298543716416798325357216984,24,79,36,1,1,4,0,7,10,Expert,
.4....32..9...16.8.8..2..5.....5.......6.8.9.5369..4...58...9.......3.61.........,147865329295431678683729154879354216412678593536912487758146932924583761361297845,25,39,17,0,0,0,0,0,0,Easy,
